# Séparation, actif, 80 (Up to date)
# 629 data points written for 3 variables.
# Simulation warnings:
#   Deploiement du systeme de recuperation à grande vitesse (32,4 m/s):  "Parachute"
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
18.131,2150.587,747.287
18.181,2152.007,748.998
18.231,2153.401,750.706
18.281,2154.769,752.413
18.331,2156.111,754.118
18.381,2157.428,755.82
18.431,2158.719,757.521
18.481,2159.985,759.22
18.531,2161.225,760.918
18.581,2162.439,762.613
18.631,2163.628,764.307
18.681,2164.791,765.998
18.731,2165.929,767.688
18.781,2167.041,769.376
18.831,2168.128,771.062
18.881,2169.19,772.747
18.931,2170.226,774.43
18.981,2171.238,776.111
19.031,2172.223,777.79
19.081,2173.184,779.468
19.131,2174.12,781.143
19.181,2175.03,782.818
19.231,2175.916,784.49
19.281,2176.776,786.161
19.331,2177.612,787.83
19.381,2178.422,789.498
19.431,2179.208,791.164
19.481,2179.968,792.828
19.531,2180.704,794.491
19.581,2181.415,796.152
19.631,2182.101,797.811
19.681,2182.763,799.469
19.731,2183.399,801.126
19.781,2184.011,802.781
19.831,2184.598,804.434
19.881,2185.161,806.086
19.931,2185.699,807.736
19.981,2186.212,809.385
20.031,2186.701,811.033
20.081,2187.165,812.678
20.131,2187.605,814.323
20.181,2188.02,815.966
20.231,2188.41,817.607
20.281,2188.777,819.248
20.331,2189.119,820.886
20.381,2189.436,822.523
20.431,2189.729,824.159
20.481,2189.998,825.794
20.531,2190.242,827.427
20.581,2190.463,829.059
20.631,2190.658,830.689
20.681,2190.83,832.318
20.731,2190.977,833.946
20.781,2191.101,835.572
20.831,2191.2,837.197
20.881,2191.274,838.821
20.931,2191.325,840.443
20.981,2191.352,842.065
# Event APOGEE occurred at t=21.031 seconds
21.031,2191.354,843.684
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=21.032 seconds
# Event SIM_WARN occurred at t=21.081 seconds: Deploiement du systeme de recuperation à grande vitesse (32,4 m/s):  "Parachute"
21.081,2191.332,845.303
21.159,2191.251,847.788
21.239,2191.108,850.293
21.321,2190.898,852.817
21.405,2190.618,855.359
21.492,2190.263,857.917
21.582,2189.828,860.49
21.674,2189.311,863.075
21.768,2188.705,865.671
21.865,2188.007,868.276
21.964,2187.212,870.889
22.066,2186.315,873.508
22.17,2185.311,876.132
22.277,2184.195,878.76
22.387,2182.961,881.389
22.499,2181.605,884.02
22.614,2180.12,886.651
22.733,2178.5,889.282
22.854,2176.739,891.912
22.979,2174.827,894.542
23.107,2172.759,897.17
23.238,2170.523,899.798
