# Séparation, actif, 45 (Up to date)
# 599 data points written for 3 variables.
# Simulation warnings:
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
15.181,766.683,2192.638
15.231,765.909,2198.055
15.281,765.113,2203.455
15.331,764.295,2208.838
15.381,763.456,2214.205
15.431,762.594,2219.554
15.481,761.711,2224.887
15.531,760.806,2230.204
15.581,759.88,2235.504
15.631,758.932,2240.787
15.681,757.962,2246.055
15.731,756.971,2251.306
15.781,755.959,2256.541
15.831,754.926,2261.76
15.881,753.871,2266.963
15.931,752.795,2272.15
15.981,751.698,2277.322
16.031,750.58,2282.478
16.081,749.44,2287.618
16.131,748.28,2292.743
16.181,747.099,2297.852
16.231,745.897,2302.945
16.281,744.674,2308.024
16.331,743.431,2313.087
16.381,742.166,2318.135
16.431,740.882,2323.168
16.481,739.576,2328.186
16.531,738.25,2333.189
16.581,736.903,2338.178
16.631,735.537,2343.151
16.681,734.149,2348.11
16.731,732.742,2353.054
16.781,731.314,2357.983
16.831,729.866,2362.898
16.881,728.398,2367.798
16.931,726.91,2372.684
16.981,725.401,2377.556
17.031,723.873,2382.413
17.081,722.325,2387.257
17.131,720.757,2392.086
17.181,719.168,2396.9
17.231,717.561,2401.701
17.281,715.933,2406.488
17.331,714.286,2411.261
17.381,712.619,2416.02
17.431,710.933,2420.766
17.481,709.227,2425.497
17.531,707.501,2430.215
17.581,705.756,2434.92
17.631,703.992,2439.61
17.681,702.208,2444.288
17.731,700.406,2448.951
17.781,698.584,2453.602
17.831,696.742,2458.239
17.881,694.882,2462.862
17.931,693.003,2467.473
17.981,691.104,2472.07
18.031,689.187,2476.654
18.081,687.251,2481.225
18.131,685.295,2485.783
18.181,683.321,2490.327
18.231,681.329,2494.859
18.281,679.317,2499.378
18.331,677.287,2503.884
18.381,675.238,2508.377
18.431,673.17,2512.857
18.481,671.084,2517.325
18.531,668.98,2521.78
18.581,666.857,2526.222
18.631,664.715,2530.652
18.681,662.556,2535.069
18.731,660.378,2539.473
18.781,658.181,2543.865
18.831,655.967,2548.245
18.881,653.734,2552.612
18.931,651.483,2556.966
18.981,649.215,2561.309
19.031,646.928,2565.639
19.081,644.623,2569.957
19.131,642.301,2574.262
19.181,639.96,2578.556
19.231,637.602,2582.837
19.281,635.226,2587.106
19.331,632.833,2591.364
19.381,630.421,2595.609
19.431,627.992,2599.842
19.481,625.546,2604.063
19.531,623.082,2608.272
19.581,620.601,2612.47
19.631,618.102,2616.655
19.681,615.585,2620.829
19.731,613.052,2624.99
19.781,610.501,2629.141
19.831,607.933,2633.279
19.881,605.348,2637.406
19.931,602.746,2641.521
19.981,600.126,2645.624
20.031,597.49,2649.716
20.081,594.837,2653.796
20.131,592.166,2657.865
20.181,589.479,2661.922
20.231,586.775,2665.968
20.281,584.054,2670.002
20.331,581.317,2674.025
20.381,578.563,2678.036
20.431,575.792,2682.036
20.481,573.005,2686.025
20.531,570.201,2690.002
20.581,567.38,2693.969
20.631,564.543,2697.924
20.681,561.69,2701.867
20.731,558.82,2705.8
20.781,555.935,2709.721
20.831,553.032,2713.631
20.881,550.114,2717.53
20.931,547.18,2721.418
20.981,544.229,2725.295
21.031,541.262,2729.161
21.081,538.28,2733.016
21.131,535.281,2736.86
21.181,532.267,2740.693
21.231,529.237,2744.515
21.281,526.191,2748.326
21.331,523.129,2752.126
21.381,520.051,2755.916
21.431,516.958,2759.694
21.481,513.849,2763.462
21.531,510.725,2767.219
21.581,507.585,2770.965
21.631,504.43,2774.701
21.681,501.259,2778.425
21.731,498.073,2782.139
21.781,494.872,2785.843
21.831,491.655,2789.535
21.881,488.424,2793.218
21.931,485.177,2796.889
21.981,481.915,2800.55
22.031,478.638,2804.2
22.081,475.346,2807.84
22.131,472.039,2811.469
22.181,468.717,2815.088
22.231,465.38,2818.697
22.281,462.029,2822.295
22.331,458.663,2825.882
22.381,455.282,2829.459
22.431,451.887,2833.026
22.481,448.476,2836.582
22.531,445.052,2840.128
22.581,441.613,2843.664
22.631,438.159,2847.189
22.681,434.691,2850.704
22.731,431.209,2854.209
22.781,427.713,2857.704
22.831,424.202,2861.188
22.881,420.677,2864.663
22.931,417.138,2868.127
22.981,413.585,2871.58
23.031,410.018,2875.024
23.081,406.437,2878.458
23.131,402.842,2881.881
23.181,399.233,2885.295
23.231,395.611,2888.698
23.281,391.974,2892.092
23.331,388.324,2895.475
23.381,384.66,2898.848
23.431,380.983,2902.212
23.481,377.292,2905.565
23.531,373.588,2908.908
23.581,369.87,2912.242
23.631,366.138,2915.565
23.681,362.394,2918.879
23.731,358.636,2922.183
23.781,354.865,2925.477
23.831,351.081,2928.761
23.881,347.283,2932.036
23.931,343.472,2935.3
23.981,339.649,2938.555
24.031,335.812,2941.8
24.081,331.963,2945.035
24.131,328.1,2948.261
24.181,324.225,2951.477
24.231,320.337,2954.683
24.281,316.437,2957.879
24.331,312.523,2961.066
24.381,308.597,2964.244
24.431,304.659,2967.411
24.481,300.707,2970.569
24.531,296.744,2973.718
24.581,292.768,2976.857
24.631,288.78,2979.986
24.681,284.779,2983.106
24.731,280.766,2986.216
24.781,276.741,2989.317
24.831,272.704,2992.408
24.881,268.654,2995.49
24.931,264.593,2998.563
24.981,260.52,3001.626
25.031,256.434,3004.68
25.081,252.337,3007.724
25.131,248.228,3010.759
25.181,244.107,3013.785
25.231,239.974,3016.801
25.281,235.83,3019.808
25.331,231.674,3022.805
25.381,227.507,3025.794
25.431,223.327,3028.773
25.481,219.137,3031.743
25.531,214.935,3034.704
25.581,210.722,3037.655
25.631,206.497,3040.597
25.681,202.261,3043.53
25.731,198.014,3046.454
25.781,193.755,3049.369
25.831,189.486,3052.275
25.881,185.205,3055.171
25.931,180.914,3058.059
25.981,176.611,3060.937
26.031,172.298,3063.807
26.081,167.973,3066.667
26.131,163.638,3069.518
26.181,159.292,3072.361
26.231,154.935,3075.194
26.281,150.568,3078.019
26.331,146.19,3080.834
26.381,141.802,3083.641
26.431,137.403,3086.438
26.481,132.993,3089.227
26.531,128.573,3092.007
26.581,124.143,3094.778
26.631,119.703,3097.54
26.681,115.252,3100.293
26.731,110.791,3103.038
26.781,106.32,3105.773
26.831,101.838,3108.5
26.881,97.347,3111.219
26.931,92.846,3113.928
26.981,88.334,3116.629
27.031,83.813,3119.321
27.081,79.282,3122.004
27.131,74.741,3124.679
27.181,70.191,3127.345
27.231,65.63,3130.002
27.281,61.06,3132.651
27.331,56.481,3135.291
27.381,51.892,3137.923
27.431,47.293,3140.546
27.481,42.685,3143.16
27.531,38.067,3145.766
27.581,33.44,3148.364
27.631,28.804,3150.953
27.681,24.158,3153.533
27.731,19.504,3156.105
27.781,14.84,3158.669
27.831,10.167,3161.224
27.881,5.485,3163.771
27.931,0.794,3166.309
# Event GROUND_HIT occurred at t=27.981 seconds
# Event SIMULATION_END occurred at t=27.981 seconds
27.981,-3.906,3168.839
