# Séparation, actif, 45 (Up to date)
# 461 data points written for 3 variables.
# Simulation warnings:
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
16.25,330.9,1398.218
16.3,328.415,1400.637
16.35,325.914,1403.047
16.4,323.398,1405.449
16.45,320.867,1407.842
16.5,318.32,1410.226
16.55,315.759,1412.601
16.6,313.182,1414.968
16.65,310.59,1417.325
16.7,307.984,1419.675
16.75,305.362,1422.015
16.8,302.726,1424.347
16.85,300.076,1426.67
16.9,297.41,1428.985
16.95,294.73,1431.291
17,292.036,1433.589
17.05,289.327,1435.878
17.1,286.604,1438.158
17.15,283.866,1440.43
17.2,281.115,1442.694
17.25,278.349,1444.948
17.3,275.57,1447.195
17.35,272.776,1449.433
17.4,269.968,1451.662
17.45,267.147,1453.883
17.5,264.312,1456.096
17.55,261.463,1458.3
17.6,258.601,1460.496
17.65,255.725,1462.684
17.7,252.835,1464.863
17.75,249.932,1467.034
17.8,247.016,1469.196
17.85,244.087,1471.351
17.9,241.144,1473.496
17.95,238.189,1475.634
18,235.22,1477.764
18.05,232.239,1479.885
18.1,229.244,1481.998
18.15,226.237,1484.103
18.2,223.217,1486.199
18.25,220.184,1488.288
18.3,217.139,1490.368
18.35,214.081,1492.44
18.4,211.011,1494.504
18.45,207.928,1496.56
18.5,204.833,1498.608
18.55,201.726,1500.647
18.6,198.607,1502.679
18.65,195.475,1504.703
18.7,192.332,1506.718
18.75,189.176,1508.726
18.8,186.009,1510.726
18.85,182.83,1512.717
18.9,179.639,1514.701
18.95,176.436,1516.677
19,173.222,1518.645
19.05,169.997,1520.605
19.1,166.76,1522.557
19.15,163.511,1524.501
19.2,160.251,1526.437
19.25,156.98,1528.366
19.3,153.698,1530.286
19.35,150.405,1532.199
19.4,147.1,1534.104
19.45,143.785,1536.002
19.5,140.459,1537.891
19.55,137.122,1539.773
19.6,133.774,1541.647
19.65,130.415,1543.514
19.7,127.046,1545.373
19.75,123.666,1547.224
19.8,120.276,1549.067
19.85,116.876,1550.903
19.9,113.465,1552.731
19.95,110.044,1554.552
20,106.612,1556.365
20.05,103.171,1558.171
20.1,99.719,1559.969
20.15,96.257,1561.759
20.2,92.786,1563.542
20.25,89.304,1565.318
20.3,85.813,1567.086
20.35,82.312,1568.847
20.4,78.801,1570.6
20.45,75.281,1572.346
20.5,71.751,1574.084
20.55,68.212,1575.815
20.6,64.663,1577.539
20.65,61.105,1579.255
20.7,57.537,1580.964
20.75,53.961,1582.666
20.8,50.375,1584.361
20.85,46.78,1586.048
20.9,43.176,1587.728
20.95,39.564,1589.401
21,35.942,1591.066
21.05,32.311,1592.725
21.1,28.672,1594.376
21.15,25.024,1596.02
21.2,21.367,1597.657
21.25,17.702,1599.287
21.3,14.029,1600.91
21.35,10.346,1602.526
21.4,6.656,1604.134
21.45,2.957,1605.736
# Event GROUND_HIT occurred at t=21.5 seconds
# Event SIMULATION_END occurred at t=21.5 seconds
21.5,-0.75,1607.331
