# LaOnRigoleLongtemps (Up to date)
# 917 data points written for 3 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
10.688,1060.119,2213.788
10.738,1063.074,2223.354
10.788,1065.984,2232.856
10.838,1068.851,2242.296
10.888,1071.674,2251.673
10.938,1074.454,2260.989
10.988,1077.192,2270.246
11.038,1079.889,2279.443
11.088,1082.543,2288.581
11.138,1085.157,2297.663
11.188,1087.73,2306.688
11.238,1090.262,2315.657
11.288,1092.755,2324.571
11.338,1095.208,2333.431
11.388,1097.621,2342.237
11.438,1099.996,2350.991
11.488,1102.333,2359.693
11.538,1104.631,2368.343
11.588,1106.891,2376.943
11.638,1109.114,2385.494
11.688,1111.299,2393.995
11.738,1113.448,2402.447
11.788,1115.56,2410.852
11.838,1117.635,2419.209
11.888,1119.675,2427.52
11.938,1121.679,2435.785
11.988,1123.647,2444.004
12.038,1125.58,2452.178
12.088,1127.479,2460.308
12.138,1129.342,2468.395
12.188,1131.171,2476.437
12.238,1132.966,2484.438
12.288,1134.727,2492.396
12.338,1136.455,2500.312
12.388,1138.149,2508.187
12.438,1139.81,2516.022
12.488,1141.438,2523.816
12.538,1143.033,2531.57
12.588,1144.595,2539.286
12.638,1146.126,2546.962
12.688,1147.624,2554.6
12.738,1149.09,2562.2
12.788,1150.525,2569.762
12.838,1151.928,2577.288
12.888,1153.3,2584.776
12.938,1154.641,2592.228
12.988,1155.951,2599.645
13.038,1157.23,2607.026
13.088,1158.478,2614.372
13.138,1159.697,2621.683
13.188,1160.885,2628.959
13.238,1162.043,2636.202
13.288,1163.171,2643.411
13.338,1164.27,2650.586
13.388,1165.339,2657.729
13.438,1166.379,2664.839
13.488,1167.389,2671.917
13.538,1168.371,2678.962
13.588,1169.324,2685.976
13.638,1170.248,2692.959
13.688,1171.143,2699.911
13.738,1172.011,2706.832
13.788,1172.849,2713.722
13.838,1173.66,2720.583
13.888,1174.443,2727.413
13.938,1175.198,2734.214
13.988,1175.925,2740.986
14.038,1176.625,2747.729
14.088,1177.297,2754.443
14.138,1177.942,2761.128
14.188,1178.56,2767.785
14.238,1179.151,2774.415
14.288,1179.715,2781.017
14.338,1180.252,2787.591
14.388,1180.763,2794.138
14.438,1181.247,2800.658
14.488,1181.704,2807.152
14.538,1182.136,2813.618
14.588,1182.541,2820.059
14.638,1182.92,2826.474
14.688,1183.273,2832.863
14.738,1183.6,2839.226
14.788,1183.901,2845.564
14.838,1184.177,2851.877
14.888,1184.427,2858.165
14.938,1184.652,2864.429
14.988,1184.851,2870.667
15.038,1185.026,2876.882
15.088,1185.175,2883.072
15.138,1185.299,2889.239
15.188,1185.398,2895.382
15.238,1185.473,2901.501
15.288,1185.522,2907.597
15.338,1185.547,2913.67
# Event APOGEE occurred at t=15.388 seconds
15.388,1185.548,2919.719
15.438,1185.524,2925.746
15.488,1185.476,2931.751
15.538,1185.403,2937.733
15.588,1185.307,2943.693
15.638,1185.186,2949.63
15.688,1185.041,2955.546
15.738,1184.872,2961.44
15.788,1184.68,2967.312
15.838,1184.464,2973.163
15.888,1184.224,2978.993
15.938,1183.96,2984.801
15.988,1183.673,2990.588
16.038,1183.363,2996.355
16.088,1183.029,3002.101
16.138,1182.672,3007.826
16.188,1182.292,3013.532
16.238,1181.889,3019.216
16.288,1181.463,3024.881
16.338,1181.014,3030.526
16.388,1180.542,3036.151
16.438,1180.047,3041.756
