# LaOnRigoleLongtemps (Up to date)
# 452 data points written for 3 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
15.65,305.294,1299.132
15.7,302.918,1301.44
15.75,300.527,1303.739
15.8,298.121,1306.029
15.85,295.699,1308.311
15.9,293.263,1310.584
15.95,290.811,1312.848
16,288.345,1315.103
16.05,285.864,1317.349
16.1,283.368,1319.586
16.15,280.857,1321.815
16.2,278.332,1324.035
16.25,275.792,1326.246
16.3,273.238,1328.449
16.35,270.67,1330.643
16.4,268.087,1332.828
16.45,265.49,1335.005
16.5,262.879,1337.173
16.55,260.254,1339.332
16.6,257.614,1341.483
16.65,254.961,1343.625
16.7,252.294,1345.759
16.75,249.614,1347.884
16.8,246.919,1350.001
16.85,244.211,1352.109
16.9,241.49,1354.208
16.95,238.755,1356.3
17,236.007,1358.382
17.05,233.245,1360.457
17.1,230.47,1362.522
17.15,227.682,1364.58
17.2,224.881,1366.629
17.25,222.067,1368.67
17.3,219.24,1370.702
17.35,216.4,1372.727
17.4,213.547,1374.742
17.45,210.682,1376.75
17.5,207.804,1378.749
17.55,204.913,1380.74
17.6,202.01,1382.723
17.65,199.095,1384.698
17.7,196.167,1386.664
17.75,193.227,1388.623
17.8,190.275,1390.573
17.85,187.311,1392.515
17.9,184.334,1394.449
17.95,181.346,1396.375
18,178.346,1398.292
18.05,175.334,1400.202
18.1,172.31,1402.104
18.15,169.275,1403.997
18.2,166.228,1405.883
18.25,163.17,1407.761
18.3,160.1,1409.63
18.35,157.018,1411.492
18.4,153.926,1413.346
18.45,150.822,1415.192
18.5,147.707,1417.03
18.55,144.581,1418.86
18.6,141.444,1420.682
18.65,138.296,1422.497
18.7,135.137,1424.304
18.75,131.968,1426.102
18.8,128.787,1427.894
18.85,125.596,1429.677
18.9,122.395,1431.453
18.95,119.183,1433.22
19,115.96,1434.981
19.05,112.728,1436.733
19.1,109.484,1438.478
19.15,106.231,1440.215
19.2,102.968,1441.945
19.25,99.694,1443.667
19.3,96.411,1445.382
19.35,93.117,1447.088
19.4,89.814,1448.788
19.45,86.501,1450.48
19.5,83.178,1452.164
19.55,79.845,1453.841
19.6,76.503,1455.51
19.65,73.152,1457.172
19.7,69.791,1458.827
19.75,66.42,1460.474
19.8,63.04,1462.114
19.85,59.651,1463.747
19.9,56.253,1465.372
19.95,52.846,1466.99
20,49.43,1468.6
20.05,46.004,1470.203
20.1,42.57,1471.8
20.15,39.127,1473.388
20.2,35.675,1474.97
20.25,32.215,1476.544
20.3,28.746,1478.112
20.35,25.268,1479.672
20.4,21.781,1481.225
20.45,18.287,1482.771
20.5,14.784,1484.309
20.55,11.272,1485.841
20.6,7.753,1487.366
20.65,4.225,1488.884
20.7,0.689,1490.394
# Event GROUND_HIT occurred at t=20.75 seconds
# Event SIMULATION_END occurred at t=20.75 seconds
20.75,-2.855,1491.898
