# LaOnRigoleLongtemps (Up to date)
# 832 data points written for 3 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Deploiement du systeme de recuperation à grande vitesse (33 m/s):  "Parachute"
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
11.369,2442.765,679.756
11.419,2451.175,682.582
11.469,2459.518,685.393
11.519,2467.795,688.19
11.569,2476.006,690.974
11.619,2484.152,693.743
11.669,2492.234,696.499
11.719,2500.253,699.242
11.769,2508.209,701.972
11.819,2516.103,704.688
11.869,2523.936,707.392
11.919,2531.707,710.083
11.969,2539.419,712.762
12.019,2547.071,715.428
12.069,2554.664,718.083
12.119,2562.198,720.725
12.169,2569.674,723.355
12.219,2577.094,725.974
12.269,2584.456,728.582
12.319,2591.762,731.178
12.369,2599.012,733.763
12.419,2606.208,736.337
12.469,2613.348,738.9
12.519,2620.434,741.452
12.569,2627.467,743.994
12.619,2634.446,746.525
12.669,2641.372,749.046
12.719,2648.246,751.556
12.769,2655.068,754.057
12.819,2661.839,756.547
12.869,2668.558,759.028
12.919,2675.227,761.499
12.969,2681.846,763.96
13.019,2688.415,766.412
13.069,2694.934,768.855
13.119,2701.405,771.288
13.169,2707.827,773.712
13.219,2714.201,776.128
13.269,2720.527,778.534
13.319,2726.805,780.931
13.369,2733.037,783.32
13.419,2739.221,785.7
13.469,2745.359,788.072
13.519,2751.451,790.435
13.569,2757.498,792.79
13.619,2763.499,795.136
13.669,2769.455,797.475
13.719,2775.366,799.805
13.769,2781.233,802.128
13.819,2787.055,804.443
13.869,2792.834,806.75
13.919,2798.569,809.049
13.969,2804.261,811.341
14.019,2809.91,813.625
14.069,2815.517,815.902
14.119,2821.081,818.171
14.169,2826.603,820.433
14.219,2832.083,822.689
14.269,2837.522,824.937
14.319,2842.919,827.178
14.369,2848.275,829.412
14.419,2853.591,831.639
14.469,2858.866,833.859
14.519,2864.101,836.073
14.569,2869.296,838.28
14.619,2874.451,840.481
14.669,2879.566,842.675
14.719,2884.643,844.862
14.769,2889.68,847.044
14.819,2894.678,849.219
14.869,2899.638,851.388
14.919,2904.559,853.55
14.969,2909.442,855.707
15.019,2914.287,857.857
15.069,2919.095,860.002
15.119,2923.865,862.141
15.169,2928.597,864.273
15.219,2933.292,866.4
15.269,2937.951,868.522
15.319,2942.572,870.637
15.369,2947.157,872.748
15.419,2951.706,874.852
15.469,2956.219,876.951
15.519,2960.695,879.045
15.569,2965.136,881.133
15.619,2969.541,883.216
15.669,2973.911,885.294
15.719,2978.245,887.367
15.769,2982.544,889.434
15.819,2986.809,891.496
15.869,2991.038,893.553
15.919,2995.233,895.606
15.969,2999.393,897.653
16.019,3003.52,899.695
16.069,3007.612,901.733
16.119,3011.67,903.766
16.169,3015.694,905.794
16.219,3019.684,907.817
16.269,3023.641,909.836
16.319,3027.565,911.85
16.369,3031.456,913.859
16.419,3035.313,915.864
16.469,3039.137,917.865
16.519,3042.929,919.861
16.569,3046.688,921.853
16.619,3050.414,923.84
16.669,3054.108,925.823
16.719,3057.77,927.802
16.769,3061.399,929.777
16.819,3064.997,931.747
16.869,3068.563,933.714
16.919,3072.096,935.676
16.969,3075.599,937.634
17.019,3079.069,939.588
17.069,3082.509,941.539
17.119,3085.917,943.485
17.169,3089.294,945.427
17.219,3092.64,947.366
17.269,3095.955,949.301
17.319,3099.239,951.232
17.369,3102.492,953.159
17.419,3105.715,955.082
17.469,3108.907,957.002
17.519,3112.069,958.918
17.569,3115.2,960.831
17.619,3118.302,962.74
17.669,3121.373,964.646
17.719,3124.415,966.548
17.769,3127.426,968.446
17.819,3130.408,970.341
17.869,3133.36,972.233
17.919,3136.282,974.121
17.969,3139.175,976.006
18.019,3142.038,977.888
18.069,3144.873,979.767
18.119,3147.677,981.642
18.169,3150.453,983.514
18.219,3153.2,985.383
18.269,3155.918,987.248
18.319,3158.607,989.111
18.369,3161.267,990.971
18.419,3163.898,992.827
18.469,3166.501,994.681
18.519,3169.075,996.531
18.569,3171.621,998.378
18.619,3174.138,1000.223
18.669,3176.627,1002.065
18.719,3179.088,1003.903
18.769,3181.521,1005.739
18.819,3183.925,1007.572
18.869,3186.302,1009.402
18.919,3188.65,1011.23
18.969,3190.971,1013.055
19.019,3193.264,1014.877
19.069,3195.529,1016.696
19.119,3197.766,1018.512
19.169,3199.976,1020.326
19.219,3202.159,1022.138
19.269,3204.314,1023.946
19.319,3206.441,1025.753
19.369,3208.541,1027.556
19.419,3210.614,1029.357
19.469,3212.66,1031.156
19.519,3214.679,1032.952
19.569,3216.67,1034.745
19.619,3218.634,1036.537
19.669,3220.572,1038.325
19.719,3222.483,1040.112
19.769,3224.366,1041.896
19.819,3226.223,1043.677
19.869,3228.053,1045.456
19.919,3229.857,1047.233
19.969,3231.634,1049.008
20.019,3233.384,1050.781
20.069,3235.108,1052.551
20.119,3236.805,1054.319
20.169,3238.476,1056.084
20.219,3240.121,1057.848
20.269,3241.739,1059.609
20.319,3243.331,1061.369
20.369,3244.896,1063.126
20.419,3246.436,1064.881
20.469,3247.949,1066.633
20.519,3249.437,1068.384
20.569,3250.898,1070.133
20.619,3252.333,1071.88
20.669,3253.742,1073.624
20.719,3255.126,1075.367
20.769,3256.484,1077.108
20.819,3257.815,1078.846
20.869,3259.121,1080.583
20.919,3260.402,1082.318
20.969,3261.656,1084.051
21.019,3262.885,1085.782
21.069,3264.088,1087.511
21.119,3265.266,1089.238
21.169,3266.419,1090.963
21.219,3267.545,1092.687
