# LaOnRigoleLongtemps (Up to date)
# 394 data points written for 3 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Deploiement du systeme de recuperation à grande vitesse (33 m/s):  "Parachute"
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
14.541,988.767,347.82
14.653,987.745,349.684
14.766,986.596,351.55
14.882,985.317,353.418
14.999,983.902,355.289
15.119,982.345,357.165
15.241,980.639,359.045
15.366,978.776,360.933
15.493,976.749,362.828
15.624,974.548,364.732
15.757,972.16,366.646
15.895,969.575,368.574
16.037,966.776,370.515
16.184,963.747,372.472
16.335,960.469,374.448
16.493,956.919,376.444
16.657,953.071,378.463
16.828,948.893,380.507
17.007,944.35,382.58
17.196,939.397,384.686
17.395,933.982,386.827
17.607,928.04,389.008
17.833,921.493,391.233
18.076,914.241,393.509
18.34,906.16,395.84
18.627,897.089,398.234
18.945,886.814,400.698
19.3,875.049,403.241
19.702,861.394,405.872
20.167,845.274,408.599
20.667,827.598,411.193
21.167,809.653,413.468
21.667,791.503,415.461
22.167,773.199,417.202
22.667,754.78,418.723
23.167,736.279,420.05
23.667,717.717,421.207
24.167,699.114,422.215
24.667,680.484,423.094
25.167,661.837,423.858
25.667,643.181,424.524
26.167,624.523,425.104
26.667,605.867,425.609
27.167,587.216,426.049
27.667,568.574,426.432
28.167,549.942,426.766
28.667,531.322,427.057
29.167,512.715,427.31
29.667,494.122,427.532
30.167,475.543,427.725
30.667,456.979,427.894
31.167,438.43,428.041
31.667,419.898,428.17
32.167,401.382,428.283
32.667,382.882,428.383
33.167,364.399,428.47
33.667,345.932,428.547
34.167,327.482,428.614
34.667,309.048,428.674
35.167,290.631,428.727
35.667,272.23,428.774
36.167,253.846,428.816
36.667,235.479,428.854
37.167,217.128,428.888
37.667,198.793,428.918
38.167,180.474,428.945
38.667,162.172,428.97
39.167,143.886,428.993
39.667,125.616,429.014
40.167,107.362,429.033
40.667,89.124,429.051
41.167,70.901,429.067
41.667,52.695,429.083
42.167,34.504,429.097
42.667,16.329,429.111
# Event GROUND_HIT occurred at t=43.116 seconds
# Event SIMULATION_END occurred at t=43.116 seconds
43.116,0,429.123
