# LaOnRigoleVite (Up to date)
# 740 data points written for 3 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Deploiement du systeme de recuperation à grande vitesse (25,7 m/s):  "Parachute"
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
19.996,2988.575,841.171
20.046,2988.787,842.465
20.096,2988.974,843.758
20.146,2989.138,845.05
20.196,2989.277,846.341
20.246,2989.392,847.631
20.296,2989.484,848.921
20.346,2989.551,850.209
20.396,2989.594,851.497
20.446,2989.613,852.784
# Event APOGEE occurred at t=20.496 seconds
20.496,2989.608,854.07
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=20.497 seconds
# Event SIM_WARN occurred at t=20.546 seconds: Deploiement du systeme de recuperation à grande vitesse (25,7 m/s):  "Parachute"
20.546,2989.579,855.355
20.635,2989.467,857.634
20.727,2989.274,859.924
20.821,2988.994,862.22
20.917,2988.624,864.524
21.016,2988.159,866.832
21.116,2987.596,869.144
21.219,2986.93,871.459
21.324,2986.156,873.775
21.432,2985.27,876.092
21.542,2984.267,878.409
21.654,2983.143,880.726
21.769,2981.891,883.042
21.886,2980.506,885.358
22.007,2978.981,887.673
22.13,2977.309,889.989
22.257,2975.482,892.304
22.386,2973.492,894.621
22.52,2971.328,896.94
22.658,2968.978,899.261
22.8,2966.43,901.588
22.946,2963.668,903.92
23.098,2960.676,906.259
23.256,2957.433,908.608
23.421,2953.915,910.967
23.592,2950.095,913.34
23.773,2945.941,915.728
23.962,2941.413,918.134
24.162,2936.465,920.561
24.375,2931.04,923.011
24.602,2925.069,925.488
24.846,2918.464,927.995
25.11,2911.117,930.535
25.398,2902.887,933.112
25.715,2893.588,935.729
26.07,2882.974,938.39
26.47,2870.702,941.097
26.932,2856.277,943.851
27.432,2840.397,946.434
27.932,2824.303,948.655
28.432,2808.051,950.56
28.932,2791.684,952.192
29.432,2775.235,953.588
29.932,2758.729,954.781
30.432,2742.183,955.801
30.932,2725.611,956.671
31.432,2709.024,957.414
31.932,2692.43,958.048
32.432,2675.834,958.588
32.932,2659.24,959.049
33.432,2642.652,959.441
33.932,2626.071,959.776
34.432,2609.499,960.06
34.932,2592.938,960.303
35.432,2576.388,960.51
35.932,2559.85,960.686
36.432,2543.325,960.836
36.932,2526.812,960.963
37.432,2510.312,961.072
37.932,2493.825,961.164
38.432,2477.351,961.243
38.932,2460.891,961.309
39.432,2444.444,961.366
39.932,2428.011,961.415
40.432,2411.592,961.456
40.932,2395.186,961.491
41.432,2378.795,961.52
41.932,2362.417,961.546
42.432,2346.054,961.567
42.932,2329.704,961.585
43.432,2313.368,961.601
43.932,2297.045,961.614
44.432,2280.736,961.625
44.932,2264.441,961.634
45.432,2248.16,961.643
45.932,2231.892,961.649
46.432,2215.637,961.655
46.932,2199.396,961.66
47.432,2183.168,961.664
47.932,2166.954,961.668
48.432,2150.752,961.671
48.932,2134.564,961.673
49.432,2118.389,961.675
49.932,2102.228,961.677
50.432,2086.079,961.679
50.932,2069.943,961.68
51.432,2053.82,961.681
51.932,2037.71,961.682
52.432,2021.613,961.683
52.932,2005.529,961.683
53.432,1989.457,961.684
53.932,1973.398,961.684
54.432,1957.352,961.685
54.932,1941.319,961.685
55.432,1925.299,961.685
55.932,1909.293,961.686
56.432,1893.299,961.686
56.932,1877.318,961.686
57.432,1861.351,961.686
57.932,1845.396,961.686
58.432,1829.455,961.686
58.932,1813.526,961.686
59.432,1797.61,961.687
59.932,1781.708,961.687
60.432,1765.818,961.687
60.932,1749.94,961.687
61.432,1734.076,961.687
61.932,1718.224,961.687
62.432,1702.384,961.687
62.932,1686.558,961.687
63.432,1670.743,961.687
63.932,1654.942,961.687
64.432,1639.152,961.687
64.932,1623.375,961.687
65.432,1607.61,961.687
65.932,1591.858,961.687
66.432,1576.118,961.687
66.932,1560.39,961.687
67.432,1544.674,961.687
67.932,1528.97,961.687
68.432,1513.278,961.687
68.932,1497.598,961.687
69.432,1481.93,961.686
69.932,1466.274,961.686
70.432,1450.63,961.686
70.932,1434.999,961.686
71.432,1419.38,961.686
71.932,1403.773,961.686
72.432,1388.179,961.686
72.932,1372.596,961.686
73.432,1357.027,961.686
73.932,1341.469,961.686
74.432,1325.923,961.686
74.932,1310.39,961.686
75.432,1294.869,961.686
75.932,1279.36,961.686
76.432,1263.862,961.686
76.932,1248.377,961.686
77.432,1232.904,961.686
77.932,1217.443,961.686
78.432,1201.993,961.686
78.932,1186.555,961.686
79.432,1171.129,961.686
79.932,1155.715,961.686
80.432,1140.313,961.686
80.932,1124.922,961.686
81.432,1109.542,961.686
81.932,1094.174,961.686
82.432,1078.818,961.686
82.932,1063.473,961.686
83.432,1048.14,961.686
