# LaOnRigoleVite (Up to date)
# 823 data points written for 3 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
9.648,1372.589,1997.471
9.698,1375.616,2004.303
9.748,1378.605,2011.103
9.798,1381.555,2017.872
9.848,1384.468,2024.61
9.898,1387.343,2031.318
9.948,1390.18,2037.995
9.998,1392.981,2044.642
10.048,1395.744,2051.259
10.098,1398.471,2057.847
10.148,1401.161,2064.406
10.198,1403.816,2070.936
10.248,1406.434,2077.438
10.298,1409.016,2083.912
10.348,1411.564,2090.358
10.398,1414.076,2096.776
10.448,1416.552,2103.167
10.498,1418.994,2109.532
10.548,1421.402,2115.869
10.598,1423.775,2122.181
10.648,1426.114,2128.466
10.698,1428.418,2134.725
10.748,1430.689,2140.959
10.798,1432.927,2147.168
10.848,1435.131,2153.351
10.898,1437.301,2159.51
10.948,1439.439,2165.644
10.998,1441.544,2171.754
11.048,1443.616,2177.839
11.098,1445.655,2183.901
11.148,1447.663,2189.939
11.198,1449.638,2195.954
11.248,1451.581,2201.946
11.298,1453.492,2207.915
11.348,1455.372,2213.86
11.398,1457.22,2219.784
11.448,1459.036,2225.685
11.498,1460.822,2231.564
11.548,1462.576,2237.421
11.598,1464.3,2243.256
11.648,1465.993,2249.07
11.698,1467.655,2254.862
11.748,1469.286,2260.634
11.798,1470.888,2266.384
11.848,1472.459,2272.114
11.898,1474,2277.823
11.948,1475.512,2283.511
11.998,1476.993,2289.18
12.048,1478.445,2294.828
12.098,1479.867,2300.456
12.148,1481.26,2306.065
12.198,1482.624,2311.654
12.248,1483.959,2317.224
12.298,1485.264,2322.774
12.348,1486.541,2328.306
12.398,1487.789,2333.819
12.448,1489.009,2339.312
12.498,1490.199,2344.788
12.548,1491.362,2350.244
12.598,1492.496,2355.683
12.648,1493.602,2361.103
12.698,1494.68,2366.505
12.748,1495.73,2371.89
12.798,1496.752,2377.256
12.848,1497.746,2382.605
12.898,1498.713,2387.937
12.948,1499.652,2393.251
12.998,1500.564,2398.548
