# Séparation, actif, 45 (Up to date)
# 517 data points written for 3 variables.
# Simulation warnings:
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
15.999,517.438,1776.695
16.049,515.521,1780.708
16.099,513.583,1784.71
16.149,511.627,1788.703
16.199,509.65,1792.685
16.249,507.655,1796.656
16.299,505.64,1800.618
16.349,503.605,1804.57
16.399,501.552,1808.511
16.449,499.479,1812.443
16.499,497.387,1816.364
16.549,495.276,1820.276
16.599,493.146,1824.177
16.649,490.997,1828.069
16.699,488.829,1831.95
16.749,486.642,1835.822
16.799,484.436,1839.683
16.849,482.212,1843.535
16.899,479.968,1847.377
16.949,477.706,1851.209
16.999,475.426,1855.032
17.049,473.126,1858.844
17.099,470.808,1862.647
17.149,468.472,1866.44
17.199,466.117,1870.223
17.249,463.744,1873.997
17.299,461.352,1877.761
17.349,458.942,1881.515
17.399,456.514,1885.26
17.449,454.068,1888.994
17.499,451.604,1892.72
17.549,449.121,1896.435
17.599,446.62,1900.141
17.649,444.102,1903.838
17.699,441.565,1907.525
17.749,439.011,1911.202
17.799,436.438,1914.87
17.849,433.848,1918.529
17.899,431.241,1922.178
17.949,428.615,1925.817
17.999,425.972,1929.447
18.049,423.311,1933.068
18.099,420.633,1936.679
18.149,417.937,1940.281
18.199,415.224,1943.873
18.249,412.494,1947.456
18.299,409.746,1951.03
18.349,406.981,1954.594
18.399,404.199,1958.149
18.449,401.399,1961.695
18.499,398.583,1965.231
18.549,395.749,1968.758
18.599,392.898,1972.276
18.649,390.031,1975.784
18.699,387.146,1979.284
18.749,384.245,1982.774
18.799,381.327,1986.255
18.849,378.392,1989.726
18.899,375.441,1993.189
18.949,372.473,1996.642
18.999,369.488,2000.087
19.049,366.487,2003.522
19.099,363.469,2006.947
19.149,360.435,2010.364
19.199,357.384,2013.772
19.249,354.317,2017.171
19.299,351.234,2020.56
19.349,348.135,2023.941
19.399,345.02,2027.312
19.449,341.888,2030.674
19.499,338.74,2034.028
19.549,335.577,2037.372
19.599,332.397,2040.707
19.649,329.202,2044.034
19.699,325.991,2047.351
19.749,322.764,2050.66
