# Séparation, actif, 80 (Up to date)
# 504 data points written for 3 variables.
# Simulation warnings:
#   Deploiement du systeme de recuperation à grande vitesse (26,7 m/s):  "Parachute"
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
14.299,1412.421,454.036
14.349,1413.893,455.447
14.399,1415.34,456.856
14.449,1416.761,458.263
14.499,1418.156,459.669
14.549,1419.525,461.074
14.599,1420.868,462.477
14.649,1422.186,463.878
14.699,1423.478,465.278
14.749,1424.745,466.676
14.799,1425.986,468.073
14.849,1427.201,469.469
14.899,1428.391,470.863
14.949,1429.555,472.256
14.999,1430.694,473.647
15.049,1431.808,475.037
15.099,1432.896,476.425
15.149,1433.96,477.812
15.199,1434.997,479.198
15.249,1436.01,480.582
15.299,1436.997,481.965
15.349,1437.96,483.347
15.399,1438.897,484.727
15.449,1439.809,486.106
15.499,1440.696,487.484
15.549,1441.558,488.86
15.599,1442.395,490.236
15.649,1443.207,491.609
15.699,1443.994,492.982
15.749,1444.757,494.353
15.799,1445.494,495.724
15.849,1446.207,497.093
15.899,1446.895,498.46
15.949,1447.558,499.827
15.999,1448.197,501.192
16.049,1448.81,502.556
16.099,1449.4,503.919
16.149,1449.964,505.281
16.199,1450.504,506.642
16.249,1451.019,508.001
16.299,1451.51,509.36
16.349,1451.977,510.717
16.399,1452.418,512.073
16.449,1452.836,513.428
16.499,1453.229,514.782
16.549,1453.597,516.135
16.599,1453.941,517.486
16.649,1454.261,518.837
16.699,1454.556,520.187
16.749,1454.828,521.536
16.799,1455.074,522.883
16.849,1455.297,524.23
16.899,1455.495,525.575
16.949,1455.669,526.92
16.999,1455.819,528.263
17.049,1455.945,529.606
17.099,1456.046,530.948
17.149,1456.124,532.288
17.199,1456.177,533.628
17.249,1456.206,534.967
# Event APOGEE occurred at t=17.299 seconds
17.299,1456.211,536.305
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=17.3 seconds
# Event SIM_WARN occurred at t=17.349 seconds: Deploiement du systeme de recuperation à grande vitesse (26,7 m/s):  "Parachute"
17.349,1456.192,537.642
17.436,1456.101,539.95
17.526,1455.932,542.269
17.617,1455.681,544.599
17.711,1455.344,546.936
