# Séparation, actif, 45 (Up to date)
# 466 data points written for 3 variables.
# Simulation warnings:
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
19.6,129.634,1535.384
19.65,126.272,1537.246
19.7,122.899,1539.1
19.75,119.516,1540.947
19.8,116.123,1542.786
19.85,112.719,1544.618
19.9,109.305,1546.442
19.95,105.88,1548.258
20,102.446,1550.067
20.05,99.001,1551.869
20.1,95.546,1553.662
20.15,92.081,1555.449
20.2,88.606,1557.228
20.25,85.122,1558.999
20.3,81.627,1560.763
20.35,78.123,1562.519
20.4,74.609,1564.268
20.45,71.086,1566.01
20.5,67.553,1567.745
20.55,64.011,1569.471
20.6,60.459,1571.191
20.65,56.898,1572.903
20.7,53.328,1574.608
20.75,49.748,1576.306
20.8,46.16,1577.997
20.85,42.562,1579.68
20.9,38.955,1581.356
20.95,35.34,1583.025
21,31.715,1584.687
21.05,28.082,1586.341
21.1,24.44,1587.988
21.15,20.789,1589.629
21.2,17.13,1591.262
21.25,13.462,1592.888
21.3,9.785,1594.507
21.35,6.101,1596.119
21.4,2.407,1597.723
# Event GROUND_HIT occurred at t=21.45 seconds
# Event SIMULATION_END occurred at t=21.45 seconds
21.45,-1.294,1599.321
